QF3NN256,Optimal1NN256,Optimal2NN256,Optimal3NN256,Computed1NN256,Computed2NN256,Computed3NN256,Max3NN256
0,0.55122,0.558376,0.559406,0.55122,0.558376,0.559406,0.696262
1,0.54359,0.558376,0.572165,0.558376,0.572165,0.575758,0.7109
2,0.553846,0.569231,0.572864,0.553846,0.569231,0.581633,0.680952
3,0.553846,0.556701,0.559585,0.553846,0.556701,0.559585,0.696262
4,0.571429,0.573604,0.580808,0.571429,0.588542,0.590909,0.691176
5,0.553846,0.569948,0.570707,0.553846,0.569948,0.572165,0.67619
6,0.532995,0.554404,0.559585,0.532995,0.554404,0.559585,0.695853
7,0.556122,0.557292,0.573604,0.556122,0.557292,0.573604,0.692308
8,0.544041,0.545455,0.545918,0.544041,0.545455,0.545918,0.674641
9,0.552764,0.554455,0.565,0.552764,0.565,0.565657,0.695455
