QF3NN512,Optimal3NN512,Computed3NN512,Max3NN512
11,0.574627,0.610422,0.673709
11,0.575521,0.636139,0.663391
11,0.582915,0.620438,0.660241
12,0.576227,0.590331,0.682039
12,0.582474,0.585678,0.68059
12,0.595,0.593516,0.6691
13,0.592405,0.625616,0.687961
13,0.596977,0.627249,0.675545
13,0.598015,0.590452,0.663391
14,0.603627,0.608924,0.685139
14,0.605598,0.592308,0.683951
14,0.607792,0.631579,0.683698
15,0.585678,0.57732,0.686747
15,0.586735,0.59542,0.684337
15,0.589947,0.619048,0.680488
16,0.563452,0.585185,0.676744
16,0.569307,0.596491,0.669065
16,0.575758,0.613139,0.666667
17,0.551813,0.583541,0.660147
17,0.584158,0.577114,0.659624
17,0.58481,0.574307,0.655422
18,0.572152,0.597531,0.670616
18,0.57289,0.58481,0.664269
18,0.585185,0.58481,0.664234
19,0.562827,0.58481,0.673861
19,0.572519,0.609694,0.672289
19,0.582278,0.6,0.666667
20,0.590206,0.631313,0.688564
20,0.595361,0.597468,0.67734
20,0.609023,0.592405,0.671605
